CharPathIndex,Path,K2001 Merkmalsnummer,K2006 Dokumentationspflicht,K2021 Berechnungsvorschrift,K2022 Anzahl Nachkommastellen,K2100 Sollwert,K2101 Nennmaß,K2110 Unterer Toleranz,K2111 Oberer Toleranz,K2120 Art der Grenze unten,K2342 Messmodul,K2343 Messpunktrolle,K2540 X-Richtung,K2541 Y-Richtung,K2542 Z-Richtung,K2543 X-Position,K2544 Y-Position,K2545 Z-Position,K2570 Kategorie,K2571 Funktionsbereich,K2580 PBMS-Punkt,K2581 Inline-Punkt,K2582 Symmetrisch,K2583 Manuelle Toleranzeingabe,K12004 Merkmalsart,K12010 Merkmalstyp,K12360 Messpunktverknüpfung,K12361 Verknüpfungstyp,K13001 Text 1,K13002 Text 2,K13003 Text 3,K13010 Messprogramm,K13011 Schnittebene,K13012 FMK-Kennung,K13013 Toleranzkette,K13014 Messprinzip
"3","/AU583/Inline/SGR Aufbau 3/NLDAB0009_O_BA",,"0",,,,,,,"","Bereich_DachAusschnitt","7","0.0757102","-0.1795546","0.9808303","1949.686","-538.534","1042.002","3","0","0","0","1","0","0","Point","NLDAB0009_O_BA","0","Formpunkt 1",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NLDAB0009_O_BA/NLDAB0009_O_BA.Z",,"1",,,"1042.002","0","-1","1","","Bereich_DachAusschnitt","7","0.0757102","-0.1795546","0.9808303","1949.686","-538.534","1042.002","3","0","0","0","1","1","0",,"NLDAB0009_O_BA","0","Formpunkt 1",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NLDAB0010_V_BA",,"0",,,,,,,"","Bereich_DachAusschnitt","8","-0.9979978","0.0308059","0.0552379","1944.618","-537.543","1037.631","3","0","0","0","1","0","0","Point","NLDAB0009_O_BA","0","Formpunkt 2",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NLDAB0010_V_BA/NLDAB0010_V_BA.X",,"1",,,"1944.618","0","-1","1","","Bereich_DachAusschnitt","8","-0.9979978","0.0308059","0.0552379","1944.618","-537.543","1037.631","3","0","0","0","1","0","0",,"NLDAB0009_O_BA","0","Formpunkt 2",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NRDAB0009_O_BA",,"0",,,,,,,"","Bereich_DachAusschnitt","7","0.0757102","0.1795546","0.9808303","1949.686","538.534","1042.002","3","0","0","0","1","0","0","Point","NRDAB0009_O_BA","0","Formpunkt 1",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NRDAB0009_O_BA/NRDAB0009_O_BA.Z",,"1",,,"1042.002","0","-1","1","","Bereich_DachAusschnitt","7","0.0757102","0.1795546","0.9808303","1949.686","538.534","1042.002","3","0","0","0","1","0","0",,"NRDAB0009_O_BA","0","Formpunkt 1",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NRDAB0010_V_BA",,"0",,,,,,,"","Bereich_DachAusschnitt","8","-0.9979978","-0.0308059","0.0552379","1944.618","537.543","1037.631","3","0","0","0","1","0","0","Point","NRDAB0009_O_BA","0","Formpunkt 2",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NRDAB0010_V_BA/NRDAB0010_V_BA.X",,"1",,,"1944.618","0","-1","1","","Bereich_DachAusschnitt","8","-0.9979978","-0.0308059","0.0552379","1944.618","537.543","1037.631","3","0","0","0","1","0","0",,"NRDAB0009_O_BA","0","Formpunkt 2",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NLDAA0013_O_BA",,"0",,,,,,,"","Bereich_Frontscheibe_Dach","7","-0.2901793","-0.1707389","0.9416178","995.834","-554.037","980.859","3","0","0","0","1","0","0","Point","NLDAA0013_O_BA","0","Formpunkt 1",,,"DAA_A3_M7240AU583 DAA_FI_M9330AU583","ELDAA0010_____",,,"4"
"3","/AU583/Inline/SGR Aufbau 3/NLDAA0013_O_BA/NLDAA0013_O_BA.X",,"1",,,"995.834","0","-1","1","","Bereich_Frontscheibe_Dach","7","-0.2901793","-0.1707389","0.9416178","995.834","-554.037","980.859","3","0","0","0","1","0","0",,"NLDAA0013_O_BA","0","Formpunkt 1",,,"DAA_A3_M7240AU583 DAA_FI_M9330AU583","ELDAA0010_____",,,"4"
