Uuid,Status,Additional data,Characteristic,Path,K1 Messwert,K21000 Verdichtung Minimum,K21001 Verdichtung Maximum,K21002 Verdichtung Spannweite,K21003 Verdichtung Mittelwert,K21004 Verdichtung Sigma,K21005 Verdichtung Median,K21006 Verdichtung Unteres Quartil,K21007 Verdichtung Oberes Quartil,K21008 Verdichtung Cp,K21009 Verdichtung Cpk,K21010 Verdichtung Anzahl,K21011 Verdichtung Gelbbereich,K21012 Verdichtung Rotbereich,K4 Messdatum,K6 Identnummer,K8 Pr¸fer,K9 Text,K10 Maschine,K12 Pr¸fmittel,K53 Auftragsnummer,K96 Freigabestatus,K99 .Verdichtungsjob,K100 Verdichtungsintervall,K101 Verdichtung Anzahl der Ursprungsmessungen,K842 Bemusterungsteil,K843 Beh‰lternummer,K844 Sondermessung,K850 Schicht,K853 Datenstempel,K854 Untergruppe 1,K855 Untergruppe 2,K856 Untergruppe 3,K857 Untergruppe 4,K858 Linie,K860 Aufbauvariante,K861 Antriebsvariante,K862 Lenkungsvariante,K863 Fahrwerksvariante,K864 Fertigungsschrittvariante,K865 Getriebevariante,K866 Ausstattungsvariante,K867 Exterieurvariante,K868 Programmvariante,K870 Identnr. 2,K871 Linie 2,K872 Messort,K873 Farbcode,K874 Baustufe,K1004 Bauteilstand,K1042 CAD-Stand,K1232 Programmstand,K2001 Merkmalsnummer,K2006 Dokumentationspflicht,K2021 Berechnungsvorschrift,K2022 Anzahl Nachkommastellen,K2100 Sollwert,K2101 Nennmaﬂ,K2110 Unterer Toleranz,K2111 Oberer Toleranz,K2120 Art der Grenze unten,K2342 Messmodul,K2343 Messpunktrolle,K2540 X-Richtung,K2541 Y-Richtung,K2542 Z-Richtung,K2543 X-Position,K2544 Y-Position,K2545 Z-Position,K2570 Kategorie,K2571 Funktionsbereich,K2580 PBMS-Punkt,K2581 Inline-Punkt,K2582 Symmetrisch,K2583 Manuelle Toleranzeingabe,K12004 Merkmalsart,K12010 Merkmalstyp,K12360 Messpunktverkn¸pfung,K12361 Verkn¸pfungstyp,K13001 Text 1,K13002 Text 2,K13003 Text 3,K13010 Messprogramm,K13011 Schnittebene,K13012 FMK-Kennung,K13013 Toleranzkette,K13014 Messprinzip
"882ce3c4-275a-43f6-9631-d64bac1148b7|1d634428-2e12-48ae-9211-4d291362d35c","1","False","NLDAA0031_O_BA.Z","/AU583/Inline/SGR Aufbau 3/NLDAA0031_O_BA/NLDAA0031_O_BA.Z","0.3",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"1000.73","0","-1","1",,"BereichDach_Heck","FORM_PT1","0.1826038","0","0.9831865","2579.582","0","1000.73","Netzmaﬂ","n.def.","n.def.","Ja","n.def.","Ja","variabel",,"NLDAA0031_O_BA","n.def.","Formpunkt 1",,,"DAA_A3_M8110AU583 DAA_FI_M9330AU583","Plane.1",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|4bb57276-7a09-4d42-979a-5ec4abef99af","1","False","NLDAA0032_H_BA.X","/AU583/Inline/SGR Aufbau 3/NLDAA0032_H_BA/NLDAA0032_H_BA.X","0.7",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"2584.554","0","-1","1",,"BereichDach_Heck","FORM_PT2","0.9993907","0","0.0349019","2584.554","0","994.955","Netzmaﬂ","n.def.","n.def.","Ja","n.def.","Ja","variabel",,"NLDAA0031_O_BA","n.def.","Formpunkt 2",,,"DAA_A3_M8110AU583 DAA_FI_M9330AU583","Plane.1",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|39c3d232-b205-4936-ad8f-324726977e24","1","False","NLDAA0039_O_BA.Z","/AU583/Inline/SGR Aufbau 3/NLDAA0039_O_BA/NLDAA0039_O_BA.Z","0.37",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"963.594","0","-1","1",,"BereichDach_Heck","FORM_PT1","0.1847331","-0.2553765","0.9490292","2505.878","-555.25","963.594","Netzmaﬂ","n.def.","n.def.","Ja","Ja","Ja","variabel",,"NLDAA0039_O_BA","n.def.","Formpunkt 1",,,"DAA_A3_M8110AU583 DAA_FI_M9330AU583","Plane.3",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|5938e4b4-37df-4705-a51e-968641966b9c","1","False","NLDAA0040_H_BA.X","/AU583/Inline/SGR Aufbau 3/NLDAA0040_H_BA/NLDAA0040_H_BA.X","0.07",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"2510.671","0","-1","1",,"BereichDach_Heck","FORM_PT2","0.9299199","-0.3661028","0.0348932","2510.671","-555.953","957.716","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,"NLDAA0039_O_BA","n.def.","Formpunkt 2",,,"DAA_A3_M8110AU583 DAA_FI_M9330AU583","Plane.3",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|7a944813-80ee-4fd0-9986-96879ee87f0a","1","False","NLDAB0009_O_BA.Z","/AU583/Inline/SGR Aufbau 3/NLDAB0009_O_BA/NLDAB0009_O_BA.Z","-0.45",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"1042.002","0","-1","1",,"Bereich_DachAusschnitt","FORM_PT1","0.0757102","-0.1795546","0.9808303","1949.686","-538.534","1042.002","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","Ja","variabel",,"NLDAB0009_O_BA","n.def.","Formpunkt 1",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|b8288fd9-db2d-4939-a41b-7b6dbaefedcf","1","False","NLDAB0010_V_BA.X","/AU583/Inline/SGR Aufbau 3/NLDAB0010_V_BA/NLDAB0010_V_BA.X","0",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"1944.618","0","-1","1",,"Bereich_DachAusschnitt","FORM_PT2","-0.9979978","0.0308059","0.0552379","1944.618","-537.543","1037.631","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,"NLDAB0009_O_BA","n.def.","Formpunkt 2",,,"DAB_A3_M8540AU583","ELDAB0005_____",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|e66829b3-a042-47ae-9e22-112326ef8f07","1","False","NLHAA0009_L_BK.Y","/AU583/Inline/SGR Aufbau 3/NLHAA0009_L_BK/NLHAA0009_L_BK.Y","-0.05",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-496.136","0","-1","1",,"Dicht_HeckBereich","FORM_PT1","0.2490819","-0.9645645","-0.0870247","3613.335","-496.136","409.309","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,"NLHAA0009_L_BK","n.def.","Formpunkt 1",,,"HAA_A3_M8110AU583","ELFKI0014_____",,,"BK - Beschnitt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|3b8176ff-e323-42bf-9309-202901a273ae","1","False","NLHAA0030_H_DG.X","/AU583/Inline/SGR Aufbau 3/NLHAA0030_H_DG/NLHAA0030_H_DG.X","0.42",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"3689.3","0","-1","1",,"Lochbild","n.def.","1","0","0","3689.3","-190","257.75","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b_STF-Anbindung","HAA_A3_M8110AU583",,,,"DG - Langloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|bb4bd295-7271-4805-a3e9-4b6dd5c52622","1","False","NLHAA0030_H_DG.Y","/AU583/Inline/SGR Aufbau 3/NLHAA0030_H_DG/NLHAA0030_H_DG.Y","-0.08",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-190","0","-1","1",,"Lochbild","n.def.","1","0","0","3689.3","-190","257.75","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b_STF-Anbindung","HAA_A3_M8110AU583",,,,"DG - Langloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|685f8b96-d576-45e6-a3ba-ff2f425b8c9c","1","False","NLHAA0030_H_DG.Z","/AU583/Inline/SGR Aufbau 3/NLHAA0030_H_DG/NLHAA0030_H_DG.Z","-0.3",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"257.75","0","-1","1",,"Lochbild","n.def.","1","0","0","3689.3","-190","257.75","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b_STF-Anbindung","HAA_A3_M8110AU583",,,,"DG - Langloch normal"
